model,N,P,K,test_id_exact_rate,test_value_accuracy,test_mae_changed,pass_flag
modelo1_gnn,3,8,2,0.932,0.9876229201900959,2.47541596198082,0
modelo1_gnn_mse,3,8,2,0.977,0.9919837677770853,1.603246444582939,0
modelo1_mlp1,3,8,2,0.941,0.9847704141154885,3.0459171769022944,0
modelo1_mlp2,3,8,2,0.979,0.9879660996772349,2.4067800645530224,0
modelv3,3,8,2,0.925,0.9822568102270365,3.5486379545927047,0
modelo1_gnn,3,8,3,0.893,0.9906014583782479,1.8797083243504167,0
modelo1_gnn_mse,3,8,3,0.941,0.9915443884755485,1.6911223048903048,0
modelo1_mlp1,3,8,3,0.873,0.9865990574444086,2.680188511118293,0
modelo1_mlp2,3,8,3,0.936,0.9883509983652085,2.3298003269582988,0
modelv3,3,8,3,0.81,0.9778871746475994,4.4225650704801085,0
modelo1_gnn,3,8,4,0.842,0.9901007531842589,1.9798493631482124,0
modelo1_gnn_mse,3,8,4,0.905,0.9860335251945257,2.793294961094856,0
modelo1_mlp1,3,8,4,0.793,0.984788719085455,3.042256182909012,0
modelo1_mlp2,3,8,4,0.889,0.9870501288035511,2.5899742392897607,0
modelv3,3,8,4,0.668,0.9700847817325592,5.983043653488159,0
