id_threshold,N,P,M,K_max,test_id_exact_rate,test_value_accuracy,run_dir
0.98,3,8,12,2,0.98,0.9955783151698857,N3x3_K2
0.98,4,12,24,0,,,
0.98,5,16,40,0,,,
0.98,6,20,60,0,,,
0.95,3,8,12,4,0.951,0.9942169649723173,N3x3_K4
0.95,4,12,24,1,0.956,0.9960444904920459,N4x4_K1
0.95,5,16,40,1,0.966,0.9930564402602613,N5x5_K1
0.95,6,20,60,1,0.956,0.9952926448649168,N6x6_K1
0.9,3,8,12,6,0.933,0.9934602402706444,N3x3_K6
0.9,4,12,24,2,0.918,0.9923235265211761,N4x4_K2
0.9,5,16,40,1,0.966,0.9930564402602613,N5x5_K1
0.9,6,20,60,1,0.956,0.9952926448649168,N6x6_K1
0.85,3,8,12,6,0.933,0.9934602402706444,N3x3_K6
0.85,4,12,24,3,0.88,0.9875877178078145,N4x4_K3
0.85,5,16,40,2,0.882,0.9869618544487655,N5x5_K2
0.85,6,20,60,1,0.956,0.9952926448649168,N6x6_K1
0.8,3,8,12,6,0.933,0.9934602402706444,N3x3_K6
0.8,4,12,24,3,0.88,0.9875877178078145,N4x4_K3
0.8,5,16,40,2,0.882,0.9869618544487655,N5x5_K2
0.8,6,20,60,2,0.833,0.9832464139440655,N6x6_K2
0.75,3,8,12,6,0.933,0.9934602402706444,N3x3_K6
0.75,4,12,24,4,0.777,0.9833180507650972,N4x4_K4
0.75,5,16,40,3,0.792,0.9817599884414301,N5x5_K3
0.75,6,20,60,2,0.833,0.9832464139440655,N6x6_K2
